EmpID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Training Duration(hours)
1098,13-May-23,Leadership Development,External,Failed,Rachelshire,Kimberly Smith,5,666.67,40
1099,30-Oct-22,Project Management,External,Incomplete,Arthurmouth,Linda Carter,5,797.05,40
1100,25-Feb-23,Communication Skills,External,Completed,Brownmouth,Sarah Cain,3,518.56,24
1101,31-Mar-23,Communication Skills,Internal,Passed,Osbornfort,Matthew Mason,5,426.82,40
1102,31-Dec-22,Project Management,External,Failed,Taylorburgh,Timothy Freeman,2,150.04,16
1103,05-Jul-23,Leadership Development,External,Passed,Hoffmanview,Richard Johnson,3,308.21,24
1104,11-Aug-22,Communication Skills,Internal,Completed,West Joel,Gloria Phillips,4,766.77,32
1105,17-Jan-23,Technical Skills,Internal,Incomplete,Lake Heidi,Sarah Payne,4,172.19,32
1106,31-Oct-22,Project Management,Internal,Completed,Port Jacob,Amber Taylor,1,742.55,8
1107,26-Jan-23,Technical Skills,Internal,Failed,West Lisafort,Isaac Burke,2,231.28,16
1108,23-May-23,Customer Service,Internal,Completed,Ricardoberg,Shane Short,5,124.54,40
1109,21-Jan-23,Leadership Development,External,Completed,South Ericburgh,Walter Frazier,5,898.37,40
1110,13-Oct-22,Customer Service,Internal,Passed,Webbmouth,Theodore Robles,2,764.36,16
1111,05-Dec-22,Project Management,Internal,Failed,Davilatown,Brendan Holmes,5,786.57,40
1112,30-Sep-22,Communication Skills,Internal,Failed,Delgadoshire,Eric Davis,3,668.05,24
1113,20-Jan-23,Technical Skills,External,Incomplete,Lake Eileenfurt,Brittany Jones,2,956.92,16
1114,25-Feb-23,Communication Skills,Internal,Incomplete,Jesusland,Darren Huynh,1,912.27,8
1115,19-May-23,Customer Service,Internal,Incomplete,Aguirreland,Brenda Martinez,4,881.71,32
1116,16-May-23,Communication Skills,Internal,Incomplete,Kempmouth,Ms. Jeanette Webster DDS,4,557.68,32
1117,12-Jan-23,Communication Skills,Internal,Completed,Lake Emily,Ashley Jensen,4,271.68,32
1118,16-Dec-22,Communication Skills,External,Completed,North Whitney,Patricia Morris,2,299.68,16
1119,08-Jul-23,Communication Skills,Internal,Incomplete,Kaylaburgh,John Williams,5,440.28,40
1120,10-Mar-23,Leadership Development,Internal,Incomplete,Swansonstad,Joshua Bell,4,553.83,32
1121,19-Sep-22,Leadership Development,Internal,Failed,Richardfurt,George Brown,1,428.9,8
1122,21-Jan-23,Communication Skills,Internal,Passed,Allentown,Jessica Hodges,3,444.4,24
1123,31-Jan-23,Project Management,Internal,Completed,Port Misty,Robert Young,4,254.38,32
1124,03-Nov-22,Communication Skills,Internal,Failed,Jennyport,Derek Harrell,1,256.21,8
1125,14-Dec-22,Communication Skills,Internal,Incomplete,New Gregory,Darren Mccarthy,2,756.19,16
1126,29-Jul-23,Technical Skills,Internal,Failed,North Benjaminstad,William Farrell,4,500.45,32
1127,04-Sep-22,Communication Skills,External,Incomplete,New Waynehaven,Melissa Miles,2,500.83,16
1128,17-May-23,Communication Skills,Internal,Incomplete,New Cory,James Perez,1,773.8,8
1129,11-Sep-22,Technical Skills,Internal,Passed,Ashleyton,Chad Mccall,2,768.06,16
1130,09-Nov-22,Leadership Development,External,Completed,Bellport,Mr. Brandon Turner,3,777.7,24
1131,31-Mar-23,Customer Service,Internal,Incomplete,Garnerhaven,Benjamin Briggs,2,943.05,16
1132,27-Sep-22,Communication Skills,Internal,Passed,Robertsburgh,Amber Harris MD,4,475.91,32
1133,19-Aug-22,Customer Service,External,Passed,Blakeshire,Richard Ross,3,107.14,24
1134,09-Dec-22,Communication Skills,External,Passed,Robertshire,Carolyn Deleon,1,271.49,8
1135,22-Mar-23,Project Management,Internal,Passed,West Caitlinport,Andrew Jordan,2,524.23,16
1136,25-Dec-22,Customer Service,External,Completed,Brittanyberg,Danny Smith,3,535.88,24
1137,09-Sep-22,Communication Skills,Internal,Passed,Rothville,Monique Williams DVM,5,270.92,40
1138,10-Sep-22,Customer Service,Internal,Failed,Cohenmouth,Stacy Fisher,4,155.14,32
1139,01-Oct-22,Customer Service,External,Completed,Port Brandon,Stephanie Hill,1,930.06,8
1140,27-Sep-22,Customer Service,Internal,Passed,West Michael,Shawn Martin,1,949.81,8
1141,17-May-23,Technical Skills,Internal,Incomplete,Josephport,Ellen Anderson,1,635.31,8
1142,17-Jul-23,Leadership Development,External,Completed,Mistyton,Molly Scott,3,675.04,24
1143,20-Dec-22,Customer Service,Internal,Failed,Geraldmouth,Scott Nelson,3,563.38,24
1144,10-Jan-23,Communication Skills,External,Completed,Cherylland,Nicholas Thompson,4,750.25,32
1145,15-Nov-22,Technical Skills,Internal,Incomplete,North Madelineville,Teresa Lee,2,401.53,16
1146,28-Jun-23,Technical Skills,External,Failed,East Elizabeth,Andrew Hendricks,3,894.88,24
1147,25-Jan-23,Leadership Development,Internal,Failed,Lake Dianeton,Ms. Diamond Knox,2,247.58,16
1148,01-Sep-22,Communication Skills,External,Passed,West Danieltown,Tamara Lee,3,529,24
1149,31-Jul-23,Leadership Development,External,Failed,East Nicolefort,Michael Roberts,5,483.99,40
1150,03-Jun-23,Project Management,External,Incomplete,Simmonston,Heather Murillo,5,797.35,40
1151,19-Dec-22,Project Management,External,Passed,New Ronald,Christopher Perry,4,707.59,32
1152,29-Mar-23,Customer Service,External,Incomplete,Taraland,Kelly Golden,2,564.48,16
1153,02-Dec-22,Communication Skills,Internal,Failed,Jesusmouth,Kyle Hernandez,4,555.35,32
1154,12-Aug-22,Customer Service,Internal,Incomplete,West Sandra,Danielle Decker,3,338.48,24
1155,10-Sep-22,Technical Skills,Internal,Failed,Port Peggyberg,Michael Price,1,339.01,8
1156,04-Sep-22,Customer Service,Internal,Incomplete,North Kayla,Michael Williams,5,939.49,40
1157,11-Oct-22,Technical Skills,External,Passed,Jamiestad,Jeffery Brown,1,276.47,8
1158,14-Sep-22,Customer Service,External,Completed,South Stephen,Grant Rodriguez,3,154.71,24
1159,27-Dec-22,Leadership Development,External,Failed,Diazside,Mrs. Elizabeth Murray DDS,3,674.24,24
1160,07-Nov-22,Leadership Development,External,Failed,Lake Nancyshire,Susan Myers,2,137.96,16
1161,13-Nov-22,Technical Skills,Internal,Passed,Port Charleneborough,Jeffrey Hester,5,926.85,40
1162,02-Sep-22,Communication Skills,External,Incomplete,Port Michelle,Jose Boyd,1,846.55,8
1163,23-Feb-23,Communication Skills,External,Passed,Wrightfort,Robin Morgan,3,734.77,24
1164,01-Mar-23,Technical Skills,Internal,Incomplete,New Juanville,Anne Goodman,3,315.09,24
1165,27-Sep-22,Communication Skills,Internal,Passed,Nguyenberg,Carlos Wilson,3,686.05,24
1166,10-Aug-22,Communication Skills,External,Passed,New Claytonville,Christina Waters,4,942.51,32
1167,23-Feb-23,Project Management,Internal,Failed,Nicolechester,Paul James,4,782.82,32
1168,02-Sep-22,Project Management,Internal,Failed,Port Dawn,Austin Gonzalez,1,370.64,8
1169,30-Jun-23,Technical Skills,Internal,Incomplete,Eduardostad,Joshua Salas,1,487.66,8
1170,04-Aug-23,Communication Skills,External,Incomplete,Christopherport,Andrew Wright,1,179.85,8
1171,07-Sep-22,Project Management,Internal,Completed,Perryside,Amanda Richardson,1,294.74,8
1172,30-Mar-23,Communication Skills,External,Passed,North Christina,Jessica Odom,5,202.09,40
1173,09-Feb-23,Customer Service,Internal,Passed,Brownington,Penny Stevenson,4,901.42,32
1174,12-May-23,Project Management,External,Incomplete,North Angelahaven,Cindy King,3,454.23,24
1175,04-Jan-23,Project Management,Internal,Passed,Duffyport,Richard Adkins,3,460.39,24
1176,14-Feb-23,Leadership Development,Internal,Completed,East Karen,Jessica Taylor,2,644.72,16
1177,17-Sep-22,Customer Service,External,Passed,New Joseph,Mark Perez,3,436.86,24
1178,21-Dec-22,Project Management,External,Failed,Gomezville,Christopher Whitehead,1,361.52,8
1179,11-Feb-23,Technical Skills,Internal,Passed,Thompsonport,Jackson Stanley,2,229.05,16
1180,17-Nov-22,Technical Skills,Internal,Completed,Thompsonfort,Paul Terry,3,787.85,24
1181,31-Dec-22,Communication Skills,External,Incomplete,Sullivanland,Jessica Quinn,1,483.82,8
1182,19-Oct-22,Communication Skills,External,Passed,West Elizabethfurt,Miranda Brown,5,623.64,40
1183,16-Jul-23,Technical Skills,Internal,Incomplete,Silvaview,Jennifer Beasley,4,351.35,32
1184,31-Jan-23,Customer Service,Internal,Completed,Deniseville,Mary Coleman,3,512.51,24
1185,22-Sep-22,Project Management,Internal,Failed,North Jason,James Larson,5,957.9,40
1186,12-Jun-23,Communication Skills,External,Failed,Port John,Renee Calderon,5,886.45,40
1187,25-Oct-22,Communication Skills,Internal,Incomplete,Acevedoshire,Margaret Martinez,4,443.55,32
1188,07-Jan-23,Technical Skills,Internal,Passed,Martinburgh,Justin Soto,4,899.13,32
1189,20-Sep-22,Communication Skills,External,Completed,Cabreramouth,Angela Hammond,1,202.74,8
1190,21-May-23,Project Management,External,Failed,Phillipsfurt,Debbie Miller,4,727.81,32
1191,23-Sep-22,Customer Service,Internal,Completed,Lake Benjamin,Kenneth Kim,2,820.39,16
1192,11-Oct-22,Leadership Development,External,Passed,Smithbury,Amber Gonzalez,4,111.94,32
1193,05-May-23,Technical Skills,External,Failed,North Victorstad,Amy Bush,1,231.96,8
1194,07-May-23,Communication Skills,Internal,Completed,Floresville,Kevin Welch,2,430.92,16
1195,06-Jul-23,Technical Skills,Internal,Failed,East Jason,Autumn Harris,3,638.7,24
1196,28-Feb-23,Communication Skills,Internal,Completed,New Caroline,Jeffrey Marshall,5,355.3,40
1197,25-Feb-23,Technical Skills,Internal,Passed,Debramouth,Alan Hall,5,575.1,40
1198,19-Jun-23,Project Management,Internal,Failed,North Yvonne,Jennifer Hayes,1,140.82,8
1199,28-Nov-22,Leadership Development,External,Passed,Claytonstad,Christopher Owen,2,663.19,16
1200,29-Jul-23,Project Management,Internal,Incomplete,South Brendabury,Zachary Alvarez,2,996.77,16
1201,10-Oct-22,Communication Skills,External,Passed,Edwardborough,Paul Henderson,2,145.39,16
1202,08-Dec-22,Technical Skills,Internal,Incomplete,Connerborough,Kelly Thompson DDS,1,344.74,8
1203,12-Oct-22,Project Management,External,Incomplete,Ramirezville,Jennifer Miller,5,308.09,40
1204,16-Jul-23,Project Management,External,Incomplete,Isaiahview,Courtney Mendez,1,610.96,8
1205,01-Aug-23,Communication Skills,External,Failed,East Loriberg,Nicole Kelley,3,201.83,24
1206,20-Jul-23,Technical Skills,Internal,Passed,Smithstad,Jackie Johnson,5,391.85,40
1207,07-Dec-22,Communication Skills,Internal,Completed,East Michaelfort,Kathryn Stephens,5,682.36,40
1208,20-Sep-22,Leadership Development,Internal,Passed,Josephside,Sean Jones,3,492.39,24
1209,18-Jun-23,Communication Skills,External,Failed,Kruegerville,Emily Pierce,2,197.78,16
1210,09-Jan-23,Leadership Development,External,Incomplete,Port Cynthia,Thomas Baker,4,485.44,32
1211,30-Jul-23,Leadership Development,External,Passed,South Robinhaven,Kendra Rodriguez,3,557.34,24
1212,03-May-23,Project Management,Internal,Failed,East Frank,Kimberly May,5,817.92,40
1213,15-Feb-23,Project Management,External,Failed,Johnsonton,Katelyn Ruiz,4,485.39,32
1214,02-Apr-23,Customer Service,Internal,Completed,West Jessica,Bobby Stuart,3,145.13,24
1215,13-Sep-22,Communication Skills,External,Passed,West Dianashire,Brian Thompson,4,751.88,32
1216,16-Jul-23,Leadership Development,External,Incomplete,Roweport,Carolyn Hamilton,1,136.48,8
1217,17-Apr-23,Customer Service,External,Completed,Jeremytown,Eric Clark,1,857.42,8
1218,30-Jan-23,Leadership Development,Internal,Failed,Henryberg,Erica Winters,3,733.16,24
1219,15-Sep-22,Communication Skills,External,Failed,West Kevintown,Steven Gutierrez,5,761.31,40
1220,29-Jun-23,Leadership Development,External,Passed,West Brittney,Johnathan Doyle,1,920.41,8
1221,25-Aug-22,Customer Service,Internal,Passed,Bonnieborough,Linda Wood,4,167.69,32
1222,10-Mar-23,Leadership Development,External,Passed,New Jennifer,Melanie Johnson,2,931.45,16
1223,30-Aug-22,Project Management,External,Completed,Estradahaven,Daniel Harrison,1,474.36,8
1224,18-Mar-23,Project Management,Internal,Incomplete,Port Eric,Jeffrey Harvey,5,598.72,40
1225,14-Aug-22,Customer Service,Internal,Completed,Brownland,Douglas Norton,5,557.02,40
1226,20-May-23,Customer Service,Internal,Completed,Savageton,Lisa Hall,3,939.92,24
1227,15-May-23,Communication Skills,External,Failed,Amandahaven,Gregory Pratt,3,669.19,24
1228,05-Oct-22,Technical Skills,Internal,Failed,Dustinshire,Bethany Willis,5,525.69,40
1229,11-Jan-23,Customer Service,External,Failed,Lake Melissa,Angela Moore,1,173.66,8
1230,30-Apr-23,Communication Skills,External,Completed,New Reneefurt,Emily Tate,1,635.71,8
1231,06-Aug-22,Project Management,External,Passed,Port Aliciaview,Douglas Dean,1,896.8,8
1232,30-Nov-22,Leadership Development,Internal,Incomplete,East Katieport,Jill Fox DVM,4,857.61,32
1233,29-Nov-22,Customer Service,Internal,Failed,Robertfurt,Jennifer Turner MD,3,460.59,24
1234,19-Feb-23,Leadership Development,Internal,Passed,Meganside,Michael Butler,1,504.82,8
1235,10-Apr-23,Project Management,Internal,Failed,Cookebury,Roberto Brennan,3,737.91,24
1236,17-Apr-23,Customer Service,External,Passed,Williamsbury,Gerald Wilson,2,244.25,16
1237,11-Nov-22,Leadership Development,External,Passed,Cervantesshire,Catherine Henderson,2,762.82,16
1238,14-Nov-22,Leadership Development,Internal,Incomplete,West Marialand,Vanessa Valdez,2,640.14,16
1239,28-Apr-23,Project Management,Internal,Incomplete,East Alyssa,Melanie Middleton,3,726.03,24
1240,04-Jan-23,Communication Skills,External,Passed,East Nicoletown,Stacy Morton,5,758.75,40
1241,01-Feb-23,Project Management,External,Failed,Lewismouth,Susan Johnson,5,878.94,40
1242,14-Mar-23,Project Management,External,Passed,East Chaseside,Daniel Holt,3,227.9,24
1243,05-Feb-23,Communication Skills,Internal,Incomplete,Ericmouth,Christopher Jones,3,855.27,24
1244,18-Feb-23,Technical Skills,External,Incomplete,Mcmahonton,Charles Farrell,5,170.62,40
1245,29-Jun-23,Communication Skills,Internal,Incomplete,Hallton,Garrett Johnson,4,392.14,32
1246,25-Dec-22,Communication Skills,Internal,Completed,Joneston,Kathleen Dixon,1,206.93,8
1247,09-Dec-22,Customer Service,External,Completed,East Michaelside,Stephanie Bruce,5,307.13,40
1248,24-Aug-22,Communication Skills,Internal,Passed,Ellisonchester,Nicholas Ryan,4,165.05,32
1249,15-Aug-22,Communication Skills,Internal,Completed,Cruzmouth,Cheyenne Rice,4,371.27,32
1250,28-Apr-23,Communication Skills,External,Incomplete,Margaretmouth,Anna Floyd,3,366.78,24
1251,04-Feb-23,Communication Skills,External,Failed,Nancyside,Wyatt Hansen,5,205.92,40
1252,20-Nov-22,Leadership Development,Internal,Completed,South Brent,Alicia Moore,1,314.51,8
1253,03-Jun-23,Customer Service,Internal,Completed,South Cynthia,Jodi Gibson DDS,2,793.86,16
1254,20-Apr-23,Project Management,Internal,Passed,Allisonport,Ryan Adkins,3,252.53,24
1255,23-Oct-22,Customer Service,External,Passed,West Laurafort,Jasmin Flynn,2,693.25,16
1256,26-May-23,Project Management,Internal,Completed,Lake Derekburgh,Kenneth Rodriguez,4,926.76,32
1257,23-May-23,Technical Skills,Internal,Failed,New Elizabethton,Ryan King,1,694.61,8
1258,30-Jun-23,Project Management,Internal,Incomplete,Alyssabury,Cody Brown,1,732.02,8
1259,04-Jan-23,Leadership Development,Internal,Completed,Port Troyton,Wayne Morgan,1,897.62,8
1260,21-Nov-22,Leadership Development,Internal,Completed,Port Rachelshire,Michael Smith,2,786.57,16
1261,26-Jul-23,Project Management,External,Incomplete,Thompsonberg,Alicia Dunn,3,613.93,24
1262,17-Jan-23,Communication Skills,Internal,Passed,Lake Nancy,Donald Gregory,2,711.8,16
1263,03-Mar-23,Communication Skills,Internal,Failed,Port Jason,Larry Yang,5,784.1,40
1264,16-May-23,Customer Service,Internal,Failed,Port Jameschester,Alexandra Riley,5,509.67,40
1265,15-Jun-23,Leadership Development,Internal,Incomplete,Rebeccamouth,Stephen Mcdonald,4,494.96,32
1266,30-Mar-23,Project Management,Internal,Incomplete,East Christopher,Melissa Brown,5,465.72,40
1267,27-Feb-23,Technical Skills,Internal,Failed,Lewisview,Paul Martin,1,507.43,8
1268,25-May-23,Project Management,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97,40
1269,23-Dec-22,Customer Service,External,Passed,Lake Kevin,Tommy Wilson,4,813.9,32
1270,21-Aug-22,Leadership Development,External,Completed,South Michael,Carrie Anderson,2,360.02,16
1271,15-Feb-23,Customer Service,Internal,Completed,North Sheila,Gina White,3,692.71,24
1272,24-Feb-23,Technical Skills,Internal,Failed,Jonesside,Michelle Holmes,3,233.12,24
1273,24-May-23,Technical Skills,External,Incomplete,New Seanberg,Sharon Park,1,881.48,8
1274,22-May-23,Project Management,Internal,Passed,West Deanna,Curtis Price,2,448.48,16
1275,13-Jun-23,Communication Skills,External,Incomplete,Port Michellechester,Amber Church,3,288.88,24
1276,15-Jul-23,Communication Skills,Internal,Failed,East Katherine,Chris Clark,1,572.45,8
1277,27-Mar-23,Communication Skills,Internal,Passed,Reneeshire,Sandra Russell,3,141.38,24
1278,04-Feb-23,Technical Skills,Internal,Incomplete,Lake Bryan,Donna Barr,1,331.46,8
1279,23-Nov-22,Technical Skills,Internal,Incomplete,New Rachelfort,Jose Mcdaniel,4,704.93,32
1280,08-Jun-23,Leadership Development,External,Completed,Evanhaven,Robert Novak,4,450.65,32
1281,31-Jan-23,Project Management,External,Completed,Andrewsfurt,Sarah Walker,3,775.97,24
1282,20-Feb-23,Leadership Development,External,Passed,Glennberg,Jasmine Conner,4,376,32
1283,17-Jan-23,Customer Service,External,Failed,Christopherport,Karen Thomas,2,106.54,16
1284,10-Nov-22,Communication Skills,External,Completed,New Johnstad,Richard Rogers,1,852.87,8
1285,08-Nov-22,Project Management,External,Completed,Port Robertmouth,Jessica Wallace,4,469.03,32
1286,28-May-23,Customer Service,Internal,Incomplete,West John,Shannon Taylor,2,274.85,16
1287,31-Mar-23,Technical Skills,External,Completed,Patrickfort,Charles Olson,1,342.57,8
